Date,JPM Close Price
1/2/2013 16:00:00,44.66
1/3/2013 16:00:00,44.57
1/4/2013 16:00:00,45.36
1/7/2013 16:00:00,45.41
1/8/2013 16:00:00,45.5
1/9/2013 16:00:00,45.47
1/10/2013 16:00:00,46.15
1/11/2013 16:00:00,46.14
1/14/2013 16:00:00,45.88
1/15/2013 16:00:00,46.35
1/16/2013 16:00:00,46.82
1/17/2013 16:00:00,46.44
1/18/2013 16:00:00,46.46
1/22/2013 16:00:00,46.54
1/23/2013 16:00:00,46.23
1/24/2013 16:00:00,46.37
1/25/2013 16:00:00,47.16
1/28/2013 16:00:00,46.64
1/29/2013 16:00:00,47.12
1/30/2013 16:00:00,47.13
1/31/2013 16:00:00,47.05
2/1/2013 16:00:00,47.85
2/4/2013 16:00:00,47.68
2/5/2013 16:00:00,48.79
2/6/2013 16:00:00,48.61
2/7/2013 16:00:00,48.23
2/8/2013 16:00:00,48.63
2/11/2013 16:00:00,48.66
2/12/2013 16:00:00,49.14
2/13/2013 16:00:00,48.68
2/14/2013 16:00:00,49.22
2/15/2013 16:00:00,48.88
2/19/2013 16:00:00,49.45
2/20/2013 16:00:00,48.61
2/21/2013 16:00:00,48.25
2/22/2013 16:00:00,48.91
2/25/2013 16:00:00,47.7
2/26/2013 16:00:00,47.6
2/27/2013 16:00:00,49.28
2/28/2013 16:00:00,48.92
3/1/2013 16:00:00,48.91
3/4/2013 16:00:00,49.1
3/5/2013 16:00:00,49.49
3/6/2013 16:00:00,50.03
3/7/2013 16:00:00,50.63
3/8/2013 16:00:00,50.2
3/11/2013 16:00:00,50.48
3/12/2013 16:00:00,50.28
3/13/2013 16:00:00,50.16
3/14/2013 16:00:00,51
3/15/2013 16:00:00,50.02
3/18/2013 16:00:00,49.51
3/19/2013 16:00:00,49.2
3/20/2013 16:00:00,49.12
3/21/2013 16:00:00,48.35
3/22/2013 16:00:00,48.78
3/25/2013 16:00:00,48.52
3/26/2013 16:00:00,48.64
3/27/2013 16:00:00,47.77
3/28/2013 16:00:00,47.46
4/1/2013 16:00:00,47.83
4/2/2013 16:00:00,48.28
4/3/2013 16:00:00,46.85
4/4/2013 16:00:00,47.49
4/5/2013 16:00:00,47.91
4/8/2013 16:00:00,48.58
4/9/2013 16:00:00,48.68
4/10/2013 16:00:00,49.25
4/11/2013 16:00:00,49.31
4/12/2013 16:00:00,49.01
4/15/2013 16:00:00,47.93
4/16/2013 16:00:00,48.49
4/17/2013 16:00:00,46.79
4/18/2013 16:00:00,46.64
4/19/2013 16:00:00,47.23
4/22/2013 16:00:00,47.35
4/23/2013 16:00:00,48.17
4/24/2013 16:00:00,48.72
4/25/2013 16:00:00,49
4/26/2013 16:00:00,48.88
4/29/2013 16:00:00,48.92
4/30/2013 16:00:00,49.01
5/1/2013 16:00:00,48.01
5/2/2013 16:00:00,48.08
5/3/2013 16:00:00,47.57
5/6/2013 16:00:00,48.18
5/7/2013 16:00:00,49.14
5/8/2013 16:00:00,49.76
5/9/2013 16:00:00,49.04
5/10/2013 16:00:00,48.96
5/13/2013 16:00:00,49.67
5/14/2013 16:00:00,50.23
5/15/2013 16:00:00,51.09
5/16/2013 16:00:00,50.97
5/17/2013 16:00:00,52.3
5/20/2013 16:00:00,52.29
5/21/2013 16:00:00,53.02
5/22/2013 16:00:00,53.63
5/23/2013 16:00:00,53.35
5/24/2013 16:00:00,53.66
5/28/2013 16:00:00,54.6
5/29/2013 16:00:00,54.67
5/30/2013 16:00:00,55.62
5/31/2013 16:00:00,54.59
6/3/2013 16:00:00,54.49
6/4/2013 16:00:00,54.04
6/5/2013 16:00:00,53.03
6/6/2013 16:00:00,53.5
6/7/2013 16:00:00,54.27
6/10/2013 16:00:00,54.36
6/11/2013 16:00:00,53.49
6/12/2013 16:00:00,53.18
6/13/2013 16:00:00,54.17
6/14/2013 16:00:00,53.13
6/17/2013 16:00:00,53.85
6/18/2013 16:00:00,54.11
6/19/2013 16:00:00,53.55
6/20/2013 16:00:00,52.48
6/21/2013 16:00:00,51.96
6/24/2013 16:00:00,50.92
6/25/2013 16:00:00,52.08
6/26/2013 16:00:00,52.5
6/27/2013 16:00:00,53.15
6/28/2013 16:00:00,52.79
7/1/2013 16:00:00,52.49
7/2/2013 16:00:00,52.8
7/3/2013 16:00:00,52.77
7/5/2013 16:00:00,53.99
7/8/2013 16:00:00,54.7
7/9/2013 16:00:00,54.89
7/10/2013 16:00:00,54.83
7/11/2013 16:00:00,55.14
7/12/2013 16:00:00,54.97
7/15/2013 16:00:00,54.89
7/16/2013 16:00:00,55.01
7/17/2013 16:00:00,55.27
7/18/2013 16:00:00,56.37
7/19/2013 16:00:00,56.16
7/22/2013 16:00:00,56.56
7/23/2013 16:00:00,56.67
7/24/2013 16:00:00,56.63
7/25/2013 16:00:00,56.5
7/26/2013 16:00:00,56.05
7/29/2013 16:00:00,55.69
7/30/2013 16:00:00,55.33
7/31/2013 16:00:00,55.73
8/1/2013 16:00:00,56.54
8/2/2013 16:00:00,56.49
8/5/2013 16:00:00,56.1
8/6/2013 16:00:00,55.49
8/7/2013 16:00:00,55.3
8/8/2013 16:00:00,54.83
8/9/2013 16:00:00,54.52
8/12/2013 16:00:00,54.09
8/13/2013 16:00:00,54.29
8/14/2013 16:00:00,54.15
