Date,WFC Close Price
1/2/2013 16:00:00,35.05
1/3/2013 16:00:00,34.76
1/4/2013 16:00:00,34.94
1/7/2013 16:00:00,34.77
1/8/2013 16:00:00,34.71
1/9/2013 16:00:00,34.71
1/10/2013 16:00:00,35.4
1/11/2013 16:00:00,35.1
1/14/2013 16:00:00,34.77
1/15/2013 16:00:00,35.11
1/16/2013 16:00:00,35.09
1/17/2013 16:00:00,35.03
1/18/2013 16:00:00,34.93
1/22/2013 16:00:00,35.04
1/23/2013 16:00:00,34.95
1/24/2013 16:00:00,35.16
1/25/2013 16:00:00,35.14
1/28/2013 16:00:00,35.11
1/29/2013 16:00:00,35.27
1/30/2013 16:00:00,34.97
1/31/2013 16:00:00,34.83
2/1/2013 16:00:00,35.13
2/4/2013 16:00:00,34.76
2/5/2013 16:00:00,34.85
2/6/2013 16:00:00,34.97
2/7/2013 16:00:00,34.66
2/8/2013 16:00:00,34.88
2/11/2013 16:00:00,35.26
2/12/2013 16:00:00,35.51
2/13/2013 16:00:00,35.13
2/14/2013 16:00:00,35.21
2/15/2013 16:00:00,35.16
2/19/2013 16:00:00,35.14
2/20/2013 16:00:00,35.1
2/21/2013 16:00:00,35.46
2/22/2013 16:00:00,35.82
2/25/2013 16:00:00,34.79
2/26/2013 16:00:00,34.75
2/27/2013 16:00:00,35.13
2/28/2013 16:00:00,35.08
3/1/2013 16:00:00,35.39
3/4/2013 16:00:00,35.85
3/5/2013 16:00:00,35.88
3/6/2013 16:00:00,36.05
3/7/2013 16:00:00,36.42
3/8/2013 16:00:00,36.5
3/11/2013 16:00:00,37.13
3/12/2013 16:00:00,36.66
3/13/2013 16:00:00,36.77
3/14/2013 16:00:00,36.97
3/15/2013 16:00:00,38.2
3/18/2013 16:00:00,37.76
3/19/2013 16:00:00,37.49
3/20/2013 16:00:00,37.44
3/21/2013 16:00:00,37.14
3/22/2013 16:00:00,37.2
3/25/2013 16:00:00,37.21
3/26/2013 16:00:00,37.3
3/27/2013 16:00:00,36.98
3/28/2013 16:00:00,36.99
4/1/2013 16:00:00,36.93
4/2/2013 16:00:00,36.88
4/3/2013 16:00:00,36.67
4/4/2013 16:00:00,37.42
4/5/2013 16:00:00,37.15
4/8/2013 16:00:00,37.02
4/9/2013 16:00:00,37.45
4/10/2013 16:00:00,37.57
4/11/2013 16:00:00,37.51
4/12/2013 16:00:00,37.21
4/15/2013 16:00:00,36.57
4/16/2013 16:00:00,37.06
4/17/2013 16:00:00,36.56
4/18/2013 16:00:00,36.27
4/19/2013 16:00:00,36.69
4/22/2013 16:00:00,36.73
4/23/2013 16:00:00,37.13
4/24/2013 16:00:00,37.34
4/25/2013 16:00:00,37.64
4/26/2013 16:00:00,37.88
4/29/2013 16:00:00,37.88
4/30/2013 16:00:00,37.98
5/1/2013 16:00:00,37.46
5/2/2013 16:00:00,37.41
5/3/2013 16:00:00,37.74
5/6/2013 16:00:00,37.9
5/7/2013 16:00:00,38.4
5/8/2013 16:00:00,38.45
5/9/2013 16:00:00,37.89
5/10/2013 16:00:00,38.03
5/13/2013 16:00:00,38.2
5/14/2013 16:00:00,38.76
5/15/2013 16:00:00,39.3
5/16/2013 16:00:00,39.26
5/17/2013 16:00:00,39.88
5/20/2013 16:00:00,40.2
5/21/2013 16:00:00,40.68
5/22/2013 16:00:00,40.1
5/23/2013 16:00:00,40.01
5/24/2013 16:00:00,40.24
5/28/2013 16:00:00,40.52
5/29/2013 16:00:00,40.75
5/30/2013 16:00:00,41.25
5/31/2013 16:00:00,40.55
6/3/2013 16:00:00,40.73
6/4/2013 16:00:00,40.44
6/5/2013 16:00:00,39.82
6/6/2013 16:00:00,40.72
6/7/2013 16:00:00,41.25
6/10/2013 16:00:00,41.27
6/11/2013 16:00:00,40.66
6/12/2013 16:00:00,40.27
6/13/2013 16:00:00,40.94
6/14/2013 16:00:00,40.16
6/17/2013 16:00:00,40.61
6/18/2013 16:00:00,40.84
6/19/2013 16:00:00,40.66
6/20/2013 16:00:00,40.09
6/21/2013 16:00:00,40.96
6/24/2013 16:00:00,39.8
6/25/2013 16:00:00,40.3
6/26/2013 16:00:00,41.02
6/27/2013 16:00:00,41.56
6/28/2013 16:00:00,41.27
7/1/2013 16:00:00,41.36
7/2/2013 16:00:00,41.22
7/3/2013 16:00:00,41.22
7/5/2013 16:00:00,42.07
7/8/2013 16:00:00,42.83
7/9/2013 16:00:00,42.7
7/10/2013 16:00:00,42.07
7/11/2013 16:00:00,41.89
7/12/2013 16:00:00,42.63
7/15/2013 16:00:00,43.35
7/16/2013 16:00:00,43.02
7/17/2013 16:00:00,43.51
7/18/2013 16:00:00,44.41
7/19/2013 16:00:00,44.45
7/22/2013 16:00:00,44.63
7/23/2013 16:00:00,44.57
7/24/2013 16:00:00,44.31
7/25/2013 16:00:00,43.65
7/26/2013 16:00:00,43.51
7/29/2013 16:00:00,43.25
7/30/2013 16:00:00,43.26
7/31/2013 16:00:00,43.5
8/1/2013 16:00:00,44.26
8/2/2013 16:00:00,44.49
8/5/2013 16:00:00,44.34
8/6/2013 16:00:00,44.03
8/7/2013 16:00:00,43.27
8/8/2013 16:00:00,43.22
8/9/2013 16:00:00,43.23
8/12/2013 16:00:00,43.2
8/13/2013 16:00:00,43.32
8/14/2013 16:00:00,43.1
8/15/2013 16:00:00,42.99
8/16/2013 16:00:00,42.75
8/19/2013 16:00:00,42.49
8/20/2013 16:00:00,42.59
8/21/2013 16:00:00,42.36
8/22/2013 16:00:00,42.48
8/23/2013 16:00:00,42.76
8/26/2013 16:00:00,42.39
8/27/2013 16:00:00,41.11
8/28/2013 16:00:00,41.25
8/29/2013 16:00:00,41.25
8/30/2013 16:00:00,41.08
9/3/2013 16:00:00,41.39
9/4/2013 16:00:00,41.5
9/5/2013 16:00:00,41.82
9/6/2013 16:00:00,41.43
9/9/2013 16:00:00,41.72
9/10/2013 16:00:00,42.45
9/11/2013 16:00:00,42.5
9/12/2013 16:00:00,42.26
9/13/2013 16:00:00,42.19
9/16/2013 16:00:00,42.89
9/17/2013 16:00:00,42.85
9/18/2013 16:00:00,43.31
9/19/2013 16:00:00,42.96
9/20/2013 16:00:00,42.85
9/23/2013 16:00:00,42.31
9/24/2013 16:00:00,41.73
9/25/2013 16:00:00,41.81
9/26/2013 16:00:00,41.61
9/27/2013 16:00:00,41.59
9/30/2013 16:00:00,41.32
10/1/2013 16:00:00,41.49
10/2/2013 16:00:00,41.26
10/3/2013 16:00:00,41
10/4/2013 16:00:00,41.3
10/7/2013 16:00:00,40.62
10/8/2013 16:00:00,40.24
10/9/2013 16:00:00,40.36
10/10/2013 16:00:00,41.44
10/11/2013 16:00:00,41.43
10/14/2013 16:00:00,41.75
10/15/2013 16:00:00,41.54
10/16/2013 16:00:00,42.21
10/17/2013 16:00:00,42.68
10/18/2013 16:00:00,42.68
10/21/2013 16:00:00,42.62
10/22/2013 16:00:00,42.94
10/23/2013 16:00:00,42.76
10/24/2013 16:00:00,42.69
10/25/2013 16:00:00,42.86
10/28/2013 16:00:00,42.83
10/29/2013 16:00:00,42.96
10/30/2013 16:00:00,43.1
10/31/2013 16:00:00,42.69
11/1/2013 16:00:00,42.67
11/4/2013 16:00:00,42.7
11/5/2013 16:00:00,42.63
11/6/2013 16:00:00,42.44
11/7/2013 16:00:00,41.71
11/8/2013 16:00:00,42.71
11/11/2013 16:00:00,42.75
11/12/2013 16:00:00,42.28
11/13/2013 16:00:00,42.76
11/14/2013 16:00:00,43.09
11/15/2013 16:00:00,43.54
11/18/2013 16:00:00,43.41
11/19/2013 16:00:00,43.56
11/20/2013 16:00:00,43.62
11/21/2013 16:00:00,44.08
11/22/2013 16:00:00,44.36
11/25/2013 16:00:00,44.48
11/26/2013 16:00:00,44.31
11/27/2013 16:00:00,44.27
11/29/2013 16:00:00,44.02
12/2/2013 16:00:00,44.18
12/3/2013 16:00:00,43.73
12/4/2013 16:00:00,43.75
12/5/2013 16:00:00,43.25
12/6/2013 16:00:00,44.11
12/9/2013 16:00:00,44.32
12/10/2013 16:00:00,44.11
12/11/2013 16:00:00,43.52
12/12/2013 16:00:00,43.5
12/13/2013 16:00:00,43.73
12/16/2013 16:00:00,43.98
12/17/2013 16:00:00,43.59
12/18/2013 16:00:00,44.93
12/19/2013 16:00:00,45.02
12/20/2013 16:00:00,44.96
12/23/2013 16:00:00,45.21
12/24/2013 16:00:00,45.39
12/26/2013 16:00:00,45.54
12/27/2013 16:00:00,45.5
12/30/2013 16:00:00,45.5
12/31/2013 16:00:00,45.4
1/2/2014 16:00:00,45.02
1/3/2014 16:00:00,45.34
1/6/2014 16:00:00,45.42
1/7/2014 16:00:00,45.4
1/8/2014 16:00:00,45.92
1/9/2014 16:00:00,46.16
1/10/2014 16:00:00,45.94
1/13/2014 16:00:00,45.56
1/14/2014 16:00:00,45.59
1/15/2014 16:00:00,46.4
1/16/2014 16:00:00,46.39
1/17/2014 16:00:00,46.39
1/21/2014 16:00:00,46.5
1/22/2014 16:00:00,46.67
1/23/2014 16:00:00,46.35
1/24/2014 16:00:00,45.48
1/27/2014 16:00:00,45.53
1/28/2014 16:00:00,45.96
1/29/2014 16:00:00,45.59
1/30/2014 16:00:00,46.05
1/31/2014 16:00:00,45.34
2/3/2014 16:00:00,44.43
2/4/2014 16:00:00,44.77
2/5/2014 16:00:00,44.23
2/6/2014 16:00:00,44.78
2/7/2014 16:00:00,45.37
2/10/2014 16:00:00,45.52
2/11/2014 16:00:00,45.97
2/12/2014 16:00:00,45.99
2/13/2014 16:00:00,45.98
2/14/2014 16:00:00,46.13
2/18/2014 16:00:00,46.13
2/19/2014 16:00:00,45.53
2/20/2014 16:00:00,45.63
2/21/2014 16:00:00,45.6
2/24/2014 16:00:00,46.08
2/25/2014 16:00:00,46.08
2/26/2014 16:00:00,46.05
2/27/2014 16:00:00,46.05
2/28/2014 16:00:00,46.42
3/3/2014 16:00:00,46.15
3/4/2014 16:00:00,46.74
3/5/2014 16:00:00,47.09
3/6/2014 16:00:00,47.34
3/7/2014 16:00:00,47.95
3/10/2014 16:00:00,48.15
3/11/2014 16:00:00,47.81
3/12/2014 16:00:00,48.12
3/13/2014 16:00:00,47.84
3/14/2014 16:00:00,47.4
3/17/2014 16:00:00,48.13
3/18/2014 16:00:00,48.4
3/19/2014 16:00:00,47.81
3/20/2014 16:00:00,49.03
3/21/2014 16:00:00,49.12
3/24/2014 16:00:00,48.98
3/25/2014 16:00:00,48.96
3/26/2014 16:00:00,48.5
3/27/2014 16:00:00,49.1
3/28/2014 16:00:00,49.29
3/31/2014 16:00:00,49.74
4/1/2014 16:00:00,49.77
4/2/2014 16:00:00,49.76
4/3/2014 16:00:00,49.83
4/4/2014 16:00:00,49.56
4/7/2014 16:00:00,48.66
4/8/2014 16:00:00,48.83
4/9/2014 16:00:00,49.1
4/10/2014 16:00:00,47.71
4/11/2014 16:00:00,48.08
4/14/2014 16:00:00,48.11
4/15/2014 16:00:00,48.78
4/16/2014 16:00:00,49.09
4/17/2014 16:00:00,48.93
4/21/2014 16:00:00,49.12
4/22/2014 16:00:00,49.23
4/23/2014 16:00:00,49.59
4/24/2014 16:00:00,49.32
4/25/2014 16:00:00,49.05
4/28/2014 16:00:00,48.94
4/29/2014 16:00:00,49.47
4/30/2014 16:00:00,49.64
5/1/2014 16:00:00,49.64
5/2/2014 16:00:00,49.58
5/5/2014 16:00:00,49.56
5/6/2014 16:00:00,49.09
5/7/2014 16:00:00,49.39
5/8/2014 16:00:00,49.33
5/9/2014 16:00:00,49.08
5/12/2014 16:00:00,49.76
5/13/2014 16:00:00,49.81
5/14/2014 16:00:00,49.29
5/15/2014 16:00:00,49.03
5/16/2014 16:00:00,49.08
5/19/2014 16:00:00,49.49
5/20/2014 16:00:00,48.96
5/21/2014 16:00:00,49.67
5/22/2014 16:00:00,49.99
5/23/2014 16:00:00,50.16
5/27/2014 16:00:00,50.55
5/28/2014 16:00:00,50.44
5/29/2014 16:00:00,50.27
5/30/2014 16:00:00,50.78
6/2/2014 16:00:00,51.09
6/3/2014 16:00:00,51.09
6/4/2014 16:00:00,51.04
6/5/2014 16:00:00,51.63
6/6/2014 16:00:00,51.98
6/9/2014 16:00:00,52.51
6/10/2014 16:00:00,52.59
6/11/2014 16:00:00,52.24
6/12/2014 16:00:00,51.71
6/13/2014 16:00:00,51.9
6/16/2014 16:00:00,51.09
6/17/2014 16:00:00,51.66
6/18/2014 16:00:00,52.04
6/19/2014 16:00:00,52.02
6/20/2014 16:00:00,52.89
6/23/2014 16:00:00,52.98
6/24/2014 16:00:00,52.49
6/25/2014 16:00:00,52.6
6/26/2014 16:00:00,52.37
6/27/2014 16:00:00,52.9
6/30/2014 16:00:00,52.56
7/1/2014 16:00:00,52.72
7/2/2014 16:00:00,52.66
7/3/2014 16:00:00,53
7/7/2014 16:00:00,52.5
7/8/2014 16:00:00,52.25
7/9/2014 16:00:00,52.19
7/10/2014 16:00:00,51.81
7/11/2014 16:00:00,51.49
7/14/2014 16:00:00,51.31
7/15/2014 16:00:00,51.35
7/16/2014 16:00:00,51.17
7/17/2014 16:00:00,50.68
7/18/2014 16:00:00,51.28
7/21/2014 16:00:00,51.05
7/22/2014 16:00:00,51.35
7/23/2014 16:00:00,51.33
7/24/2014 16:00:00,51.59
7/25/2014 16:00:00,51.6
7/28/2014 16:00:00,51.6
7/29/2014 16:00:00,51.54
7/30/2014 16:00:00,52.1
7/31/2014 16:00:00,50.9
8/1/2014 16:00:00,50.35
8/4/2014 16:00:00,50.99
8/5/2014 16:00:00,50.4
8/6/2014 16:00:00,50.06
8/7/2014 16:00:00,49.7
8/8/2014 16:00:00,50
8/11/2014 16:00:00,49.89
8/12/2014 16:00:00,49.78
8/13/2014 16:00:00,49.99
8/14/2014 16:00:00,50.38
8/15/2014 16:00:00,50.21
8/18/2014 16:00:00,50.69
8/19/2014 16:00:00,50.86
8/20/2014 16:00:00,50.85
8/21/2014 16:00:00,51.29
8/22/2014 16:00:00,51.18
8/25/2014 16:00:00,51.45
8/26/2014 16:00:00,51.56
8/27/2014 16:00:00,51.34
8/28/2014 16:00:00,51.15
8/29/2014 16:00:00,51.44
9/2/2014 16:00:00,51.57
9/3/2014 16:00:00,51.55
9/4/2014 16:00:00,51.57
9/5/2014 16:00:00,51.65
9/8/2014 16:00:00,51.47
9/9/2014 16:00:00,51.07
9/10/2014 16:00:00,51.52
9/11/2014 16:00:00,51.59
9/12/2014 16:00:00,51.7
9/15/2014 16:00:00,51.94
9/16/2014 16:00:00,52.31
9/17/2014 16:00:00,52.51
9/18/2014 16:00:00,53.24
9/19/2014 16:00:00,53.36
9/22/2014 16:00:00,52.9
9/23/2014 16:00:00,52.1
9/24/2014 16:00:00,52.13
9/25/2014 16:00:00,51.41
9/26/2014 16:00:00,51.87
9/29/2014 16:00:00,51.69
9/30/2014 16:00:00,51.87
10/1/2014 16:00:00,51.26
10/2/2014 16:00:00,51.4
10/3/2014 16:00:00,52.1
10/6/2014 16:00:00,52.03
10/7/2014 16:00:00,51.08
10/8/2014 16:00:00,52.15
10/9/2014 16:00:00,51.12
10/10/2014 16:00:00,50.64
10/13/2014 16:00:00,50.2
10/14/2014 16:00:00,48.83
10/15/2014 16:00:00,47.85
10/16/2014 16:00:00,48.13
10/17/2014 16:00:00,48.69
10/20/2014 16:00:00,49.18
10/21/2014 16:00:00,50.45
10/22/2014 16:00:00,50.17
10/23/2014 16:00:00,50.6
10/24/2014 16:00:00,51.2
10/27/2014 16:00:00,51.31
10/28/2014 16:00:00,51.78
10/29/2014 16:00:00,52.17
10/30/2014 16:00:00,52.46
10/31/2014 16:00:00,53.09
11/3/2014 16:00:00,53.37
11/4/2014 16:00:00,53.27
11/5/2014 16:00:00,53.53
11/6/2014 16:00:00,54.06
11/7/2014 16:00:00,53.84
11/10/2014 16:00:00,53.83
11/11/2014 16:00:00,53.58
11/12/2014 16:00:00,53.54
11/13/2014 16:00:00,53.39
11/14/2014 16:00:00,53.35
11/17/2014 16:00:00,53.44
11/18/2014 16:00:00,53.27
11/19/2014 16:00:00,53.36
11/20/2014 16:00:00,53.48
11/21/2014 16:00:00,53.81
11/24/2014 16:00:00,54.1
11/25/2014 16:00:00,53.88
11/26/2014 16:00:00,54.28
11/28/2014 16:00:00,54.48
12/1/2014 16:00:00,53.82
