date, value
1971-04-01,7.29
1971-05-01,7.46
1971-06-01,7.54
1971-07-01,7.69
1971-08-01,7.69
1971-09-01,7.67
1971-10-01,7.63
1971-11-01,7.51
1971-12-01,7.48
1972-01-01,7.4
1972-02-01,7.31
1972-03-01,7.23
1972-04-01,7.33
1972-05-01,7.4
1972-06-01,7.38
1972-07-01,7.4
1972-08-01,7.42
1972-09-01,7.43
1972-10-01,7.42
1972-11-01,7.44
1972-12-01,7.45
1973-01-01,7.43
1973-02-01,7.45
1973-03-01,7.49
1973-04-01,7.56
1973-05-01,7.7
1973-06-01,7.76
1973-07-01,8.18
1973-08-01,8.66
1973-09-01,8.85
1973-10-01,8.68
1973-11-01,8.55
1973-12-01,8.56
1974-01-01,8.52
1974-02-01,8.42
1974-03-01,8.41
1974-04-01,8.73
1974-05-01,9.03
1974-06-01,9.1
1974-07-01,9.42
1974-08-01,9.74
1974-09-01,10.03
1974-10-01,9.94
1974-11-01,9.72
1974-12-01,9.56
1975-01-01,9.29
1975-02-01,9.02
1975-03-01,8.86
1975-04-01,8.84
1975-05-01,8.89
1975-06-01,8.9
1975-07-01,8.89
1975-08-01,9.02
1975-09-01,9.14
1975-10-01,9.24
1975-11-01,9.11
1975-12-01,9.09
1976-01-01,8.9
1976-02-01,8.75
1976-03-01,8.75
1976-04-01,8.75
1976-05-01,8.78
1976-06-01,8.9
1976-07-01,8.98
1976-08-01,9
1976-09-01,8.97
1976-10-01,8.9
1976-11-01,8.8
1976-12-01,8.78
1977-01-01,8.73
1977-02-01,8.65
1977-03-01,8.7
1977-04-01,8.78
1977-05-01,8.85
1977-06-01,8.88
1977-07-01,8.93
1977-08-01,8.93
1977-09-01,8.9
1977-10-01,8.9
1977-11-01,8.93
1977-12-01,9
1978-01-01,9.05
1978-02-01,9.15
1978-03-01,9.25
1978-04-01,9.43
1978-05-01,9.68
1978-06-01,9.73
1978-07-01,9.75
1978-08-01,9.8
1978-09-01,9.78
1978-10-01,9.88
1978-11-01,10.28
1978-12-01,10.38
1979-01-01,10.4
1979-02-01,10.4
1979-03-01,10.45
1979-04-01,10.53
1979-05-01,10.75
1979-06-01,11.1
1979-07-01,11.08
1979-08-01,11.13
1979-09-01,11.35
1979-10-01,12
1979-11-01,12.9
1979-12-01,12.9
1980-01-01,12.89
1980-02-01,13.59
1980-03-01,16.03
1980-04-01,16.25
1980-05-01,13.2
1980-06-01,12.35
1980-07-01,12.18
1980-08-01,12.95
1980-09-01,13.43
1980-10-01,14
1980-11-01,14.28
1980-12-01,14.95
1981-01-01,15.07
1981-02-01,15.3
1981-03-01,15.4
1981-04-01,15.77
1981-05-01,16.8
1981-06-01,16.62
1981-07-01,17.11
1981-08-01,17.48
1981-09-01,18.36
1981-10-01,18.44
1981-11-01,17.21
1981-12-01,17.04
1982-01-01,17.59
1982-02-01,17.52
1982-03-01,17.04
1982-04-01,16.81
1982-05-01,16.63
1982-06-01,16.73
1982-07-01,16.65
1982-08-01,15.88
1982-09-01,15.19
1982-10-01,14.15
1982-11-01,13.77
1982-12-01,13.57
1983-01-01,13.1
1983-02-01,12.98
1983-03-01,12.86
1983-04-01,12.73
1983-05-01,12.68
1983-06-01,12.96
1983-07-01,13.65
1983-08-01,13.78
1983-09-01,13.65
1983-10-01,13.43
1983-11-01,13.43
1983-12-01,13.43
1984-01-01,13.29
1984-02-01,13.25
1984-03-01,13.55
1984-04-01,13.73
1984-05-01,14.08
1984-06-01,14.5
1984-07-01,14.67
1984-08-01,14.38
1984-09-01,14.26
1984-10-01,14.05
1984-11-01,13.42
1984-12-01,13.14
1985-01-01,12.96
1985-02-01,12.94
1985-03-01,13.29
1985-04-01,13.12
1985-05-01,12.71
1985-06-01,12.15
1985-07-01,12.03
1985-08-01,12.11
1985-09-01,12.17
1985-10-01,12.07
1985-11-01,11.58
1985-12-01,11.09
1986-01-01,10.89
1986-02-01,10.51
1986-03-01,10.1
1986-04-01,9.86
1986-05-01,10.38
1986-06-01,10.62
1986-07-01,10.4
1986-08-01,9.93
1986-09-01,10.1
1986-10-01,9.89
1986-11-01,9.5
1986-12-01,9.29
1987-01-01,9.08
1987-02-01,9.07
1987-03-01,9.03
1987-04-01,10.37
1987-05-01,10.7
1987-06-01,10.35
1987-07-01,10.27
1987-08-01,10.33
1987-09-01,11.02
1987-10-01,10.97
1987-11-01,10.55
1987-12-01,10.61
1988-01-01,10.16
1988-02-01,9.87
1988-03-01,9.99
1988-04-01,10.28
1988-05-01,10.58
1988-06-01,10.4
1988-07-01,10.49
1988-08-01,10.67
1988-09-01,10.42
1988-10-01,10.22
1988-11-01,10.39
1988-12-01,10.77
1989-01-01,10.6
1989-02-01,10.78
1989-03-01,11.19
1989-04-01,11.03
1989-05-01,10.5
1989-06-01,10.07
1989-07-01,9.81
1989-08-01,10.21
1989-09-01,10.16
1989-10-01,9.82
1989-11-01,9.74
1989-12-01,9.78
1990-01-01,10.05
1990-02-01,10.31
1990-03-01,10.22
1990-04-01,10.56
1990-05-01,10.33
1990-06-01,10.15
1990-07-01,9.98
1990-08-01,10.24
1990-09-01,10.22
1990-10-01,10.17
1990-11-01,9.9
1990-12-01,9.68
1991-01-01,9.61
1991-02-01,9.29
1991-03-01,9.52
1991-04-01,9.53
1991-05-01,9.45
1991-06-01,9.67
1991-07-01,9.5
1991-08-01,9.15
1991-09-01,8.92
1991-10-01,8.91
1991-11-01,8.7
1991-12-01,8.35
1992-01-01,8.68
1992-02-01,8.83
1992-03-01,8.98
1992-04-01,8.85
1992-05-01,8.6
1992-06-01,8.43
1992-07-01,8.05
1992-08-01,8.01
1992-09-01,8.02
1992-10-01,8.21
1992-11-01,8.29
1992-12-01,8.14
1993-01-01,7.86
1993-02-01,7.53
1993-03-01,7.5
1993-04-01,7.43
1993-05-01,7.5
1993-06-01,7.34
1993-07-01,7.25
1993-08-01,6.97
1993-09-01,6.95
1993-10-01,6.86
1993-11-01,7.31
1993-12-01,7.13
1994-01-01,6.97
1994-02-01,7.32
1994-03-01,7.8
1994-04-01,8.32
1994-05-01,8.53
1994-06-01,8.46
1994-07-01,8.57
1994-08-01,8.56
1994-09-01,8.82
1994-10-01,9.03
1994-11-01,9.25
1994-12-01,9.18
1995-01-01,9.13
1995-02-01,8.73
1995-03-01,8.38
1995-04-01,8.26
1995-05-01,7.85
1995-06-01,7.53
1995-07-01,7.79
1995-08-01,7.88
1995-09-01,7.62
1995-10-01,7.45
1995-11-01,7.35
1995-12-01,7.11
1996-01-01,7
1996-02-01,7.32
1996-03-01,7.69
1996-04-01,7.92
1996-05-01,8.03
1996-06-01,8.29
1996-07-01,8.19
1996-08-01,8.09
1996-09-01,8.16
1996-10-01,7.86
1996-11-01,7.52
1996-12-01,7.64
1997-01-01,7.88
1997-02-01,7.65
1997-03-01,7.97
1997-04-01,8.08
1997-05-01,7.94
1997-06-01,7.58
1997-07-01,7.43
1997-08-01,7.58
1997-09-01,7.28
1997-10-01,7.21
1997-11-01,7.17
1997-12-01,6.99
1998-01-01,7.12
1998-02-01,7.09
1998-03-01,7.08
1998-04-01,7.15
1998-05-01,7.07
1998-06-01,6.96
1998-07-01,6.97
1998-08-01,6.92
1998-09-01,6.64
1998-10-01,6.83
1998-11-01,6.78
1998-12-01,6.83
1999-01-01,6.74
1999-02-01,6.89
1999-03-01,6.98
1999-04-01,6.93
1999-05-01,7.23
1999-06-01,7.63
1999-07-01,7.7
1999-08-01,7.8
1999-09-01,7.76
1999-10-01,7.96
1999-11-01,7.75
1999-12-01,8.06
2000-01-01,8.25
2000-02-01,8.31
2000-03-01,8.23
2000-04-01,8.13
2000-05-01,8.62
2000-06-01,8.22
2000-07-01,8.13
2000-08-01,7.99
2000-09-01,7.88
2000-10-01,7.68
2000-11-01,7.73
2000-12-01,7.13
