Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2019-07-12,4.587250232696533,47.36,115.3,29.45
2019-07-15,4.565499782562256,46.71,113.9,29.22
2019-07-16,4.538750171661377,45.3,115.12,28.99
2019-07-17,4.514500141143799,45.21,113.99,29.19
2019-07-18,4.533999919891357,45.82,114.67,29.48
2019-07-19,4.572500228881836,46.03,113.54,29.4
2019-07-22,4.546249866485596,46.48,114.27,29.57
2019-07-23,4.617000102996826,47.2,116.36,30.25
2019-07-24,4.665999889373779,48.45,116.83,30.67
2019-07-25,4.728499889373779,48.09,115.71,30.34
2019-07-26,4.729750156402588,49.3,116.22,30.77
2019-07-29,4.744500160217285,48.28,115.85,30.52
2019-07-30,4.690000057220459,48.55,115.59,30.89
2019-07-31,4.730999946594238,48.41,116.0,30.68
2019-08-01,4.715750217437744,47.06,112.94,29.49
2019-08-02,4.479750156402588,47.44,112.93,29.38
2019-08-05,4.365499973297119,46.14,109.57,28.08
2019-08-06,4.327000141143799,46.93,110.43,28.42
2019-08-07,4.266749858856201,45.81,108.03,27.89
2019-08-08,4.375249862670898,46.4,109.86,28.38
2019-08-09,4.326250076293945,46.3,109.74,28.33
2019-08-12,4.289750099182129,45.53,107.68,27.64
2019-08-13,4.335999965667725,45.96,109.34,27.72
2019-08-14,4.187250137329102,43.97,104.8,26.42
2019-08-15,4.152750015258789,43.38,105.2,26.25
2019-08-16,4.238249778747559,44.39,107.72,27.03
2019-08-19,4.303500175476074,45.25,108.69,27.27
2019-08-20,4.2532501220703125,44.68,107.31,26.72
2019-08-21,4.242249965667725,45.0,107.61,26.93
2019-08-22,4.266749858856201,45.62,108.72,27.19
2019-08-23,4.218500137329102,44.42,106.02,26.47
2019-08-27,4.148499965667725,44.75,105.74,26.47
2019-08-28,4.199749946594238,45.47,106.8,26.85
2019-08-29,4.296750068664551,46.19,109.22,27.33
2019-08-30,4.307750225067139,46.57,109.86,27.51
2019-09-03,4.204750061035156,46.09,108.56,27.05
2019-09-04,4.267250061035156,46.5,109.87,27.49
2019-09-05,4.4095001220703125,47.62,112.37,28.12
2019-09-06,4.382750034332275,47.15,112.61,27.73
2019-09-09,4.486000061035156,48.41,115.4,28.63
2019-09-10,4.533249855041504,48.31,116.87,29.35
2019-09-11,4.584750175476074,48.85,117.19,29.46
2019-09-12,4.603000164031982,48.65,117.91,29.67
2019-09-13,4.702000141143799,48.92,120.23,30.17
2019-09-16,4.678999900817871,48.98,119.16,30.13
2019-09-17,4.617249965667725,48.76,118.57,29.94
2019-09-18,4.615499973297119,48.93,119.76,30.0
